(1, 1, 1, 120000653)
(2, 5, 1, 120002039)
(3, 5, 1, 120002788)
(4, 2, 1, 120002727)
(5, 4, 1, 120001912)
(6, 1, 1, 120001685)
(7, 4, 1, 120001600)
(8, 4, 1, 120001508)
(9, 3, 1, 120000504)
(10, 1, 1, 120002084)
(11, 9, 1, 120006315)
(12, 2, 1, 120000716)
(13, 5, 1, 120000761)
(14, 3, 1, 120002787)
(15, 2, 1, 120007720)
(16, 5, 1, 120002014)
(17, 4, 1, 120004256)
(18, 1, 1, 120002342)
(19, 5, 1, 120000351)
(20, 3, 1, 120001205)
(21, 5, 1, 120001599)
(22, 5, 1, 120000236)
(23, 5, 1, 120001938)
(24, 3, 1, 120000727)
(25, 4, 1, 120002566)
(26, 1, 1, 120003094)
(27, 3, 1, 120000952)
(28, 5, 1, 120001734)
(29, 2, 1, 120006156)
(30, 5, 1, 120002154)
(31, 3, 1, 120003130)
(32, 4, 1, 120002825)
(33, 2, 1, 120002470)
(34, 5, 1, 120005713)
(35, 3, 1, 120008168)
(36, 5, 1, 120006796)
(37, 1, 1, 120001273)
(38, 1, 1, 120005303)
(39, 2, 1, 120003103)
(40, 5, 1, 120002201)
(41, 2, 1, 120001245)
(42, 5, 1, 120000236)
(43, 5, 1, 120007671)
(44, 4, 1, 120007117)
(45, 2, 1, 120001763)
(46, 9, 1, 120000250)
(47, 3, 1, 120000437)
(48, 1, 1, 120002471)
(49, 4, 1, 120002832)
(50, 5, 1, 120006137)
(51, 4, 2, 120001042)
(52, 8, 2, 120000317)
(53, 20, 2, 120007631)
(54, 5, 2, 120002128)
(55, 2, 2, 120001251)
(56, 12, 2, 120000353)
(58, 20, 2, 120002097)
(59, 5, 2, 120002987)
(60, 4, 2, 120000111)
(61, 25, 2, 120010695)
(62, 4, 2, 120000245)
(63, 3, 2, 120001618)
(64, 20, 2, 120000519)
(65, 3, 2, 120002084)
(66, 15, 2, 120002582)
(67, 12, 2, 120000747)
(68, 5, 2, 120002447)
(69, 2, 2, 120001760)
(70, 3, 2, 120002119)
(71, 2, 2, 120000928)
(72, 10, 2, 120008113)
(73, 8, 2, 120000464)
(74, 4, 2, 120001007)
(75, 10, 2, 120001154)
(76, 20, 2, 120008984)
(77, 4, 2, 120000710)
(78, 6, 2, 120002046)
(79, 5, 2, 120000592)
(80, 3, 2, 120003084)
(81, 15, 2, 120002796)
(82, 3, 2, 120001436)
(83, 3, 2, 120001293)
(84, 2, 2, 120002769)
(85, 5, 2, 120002766)
(86, 5, 2, 120004620)
(87, 3, 2, 120001236)
(88, 4, 2, 120000907)
(89, 25, 2, 120001468)
(90, 10, 2, 120000477)
(91, 8, 2, 120000806)
(92, 4, 2, 120002450)
(93, 2, 2, 120001330)
(94, 4, 2, 120002966)
(95, 5, 2, 120005641)
(96, 5, 2, 120002234)
(97, 4, 2, 120000494)
(98, 25, 2, 120000908)
(99, 5, 2, 120002297)
(100, 25, 2, 120002366)
(101, 40, 3, 120002407)
(102, 15, 3, 120000764)
(103, 8, 3, 120001791)
(104, 12, 3, 120002266)
(105, 15, 3, 120000644)
(106, 15, 3, 120000031)
(107, 12, 3, 120002399)
(108, 60, 3, 120008459)
(109, 75, 3, 120001591)
(110, 4, 3, 120002115)
(111, 8, 3, 120001157)
(112, 8, 3, 120002805)
(113, 25, 3, 120002410)
(114, 40, 3, 120015747)
(115, 24, 3, 120002852)
(116, 20, 3, 120000648)
(117, 15, 3, 120001025)
(118, 19, 3, 25345403421)
(119, 20, 3, 120001386)
(120, 100, 3, 120001251)
(121, 8, 3, 120000324)
(122, 10, 3, 120000254)
(123, 60, 3, 120001205)
(124, 15, 3, 120001101)
(125, 10, 3, 120000602)
(126, 20, 3, 120001041)
(127, 15, 3, 120000703)
(128, 15, 3, 120001669)
(129, 6, 3, 120001754)
(130, 50, 3, 120002989)
(131, 25, 3, 120001294)
(132, 15, 3, 120003210)
(133, 5, 3, 120002358)
(134, 15, 3, 120001237)
(135, 16, 3, 120002865)
(136, 15, 3, 120000971)
(137, 20, 3, 120002554)
(139, 40, 3, 120000614)
(140, 6, 3, 120000456)
