(1, 3, 1, 113)
(2, 5, 2, 228)
(3, 5, 2, 166)
(4, 5, 2, 168)
(5, 4, 1, 199)
(6, 4, 2, 84)
(7, 4, 1, 197)
(8, 5, 2, 227)
(9, 4, 2, 84)
(10, 3, 1, 105)
(11, 3, 2, 106)
(12, 5, 2, 168)
(13, 4, 2, 83)
(14, 5, 2, 222)
(15, 3, 1, 110)
(16, 3, 2, 106)
(17, 5, 2, 168)
(18, 3, 1, 91)
(19, 3, 1, 72)
(20, 6, 2, 56)
(21, 4, 1, 92)
(22, 4, 2, 84)
(23, 4, 1, 84)
(24, 6, 2, 49)
(25, 5, 2, 57)
(26, 4, 1, 205)
(27, 5, 2, 164)
(28, 5, 2, 240)
(29, 5, 2, 166)
(30, 3, 1, 49)
(31, 3, 2, 102)
(32, 3, 1, 93)
(33, 3, 1, 92)
(34, 3, 2, 92)
(35, 3, 1, 92)
(36, 5, 2, 145)
(37, 3, 1, 43)
(38, 3, 1, 42)
(39, 5, 2, 146)
(40, 3, 1, 43)
(41, 3, 1, 93)
(42, 4, 1, 31)
(43, 7, 2, 113)
(44, 3, 1, 43)
(45, 5, 2, 143)
(46, 5, 2, 154)
(47, 3, 1, 94)
(48, 3, 1, 92)
(49, 3, 1, 41)
(50, 3, 2, 92)
(51, 7, 2, 442)
(52, 5, 2, 471)
(53, 6, 2, 535)
(54, 6, 2, 472)
(55, 5, 2, 480)
(56, 7, 3, 425)
(57, 7, 2, 261)
(58, 7, 2, 280)
(59, 7, 2, 261)
(60, 7, 2, 261)
(61, 7, 2, 260)
(62, 5, 2, 456)
(63, 6, 2, 463)
